# Quartic Well - state n = 4
# Parity (even=+1, odd=-1) = 1
# gamma =   1.4142136E+00
# epsilon (numeric) =   1.0244309E+01
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -7.3360000000E+00    2.8962582951E+03   -6.4850000322E-80    0.0000000000E+00    4.2055225417-159   -6.4850000322E-80    2.3294544721E-81
   -7.3280000000E+00    2.8836453218E+03   -1.1909003212E-79    0.0000000000E+00    1.4182435749-158   -1.1909003212E-79    4.2541338588E-81
   -7.3200000000E+00    2.8710735898E+03   -2.1840673063E-79    0.0000000000E+00    4.7701499982-158   -2.1840673063E-79    7.7587105292E-81
   -7.3120000000E+00    2.8585430090E+03   -4.0002064952E-79    0.0000000000E+00    1.6001652004-157   -4.0002064952E-79    1.4131557334E-80
   -7.3040000000E+00    2.8460534897E+03   -7.3168677026E-79    0.0000000000E+00    5.3536552978-157   -7.3168677026E-79    2.5704738083E-80
   -7.2960000000E+00    2.8336049420E+03   -1.3365801450E-78    0.0000000000E+00    1.7864464840-156   -1.3365801450E-78    4.6693843986E-80
   -7.2880000000E+00    2.8211972761E+03   -2.4383297134E-78    0.0000000000E+00    5.9454517912-156   -2.4383297134E-78    8.4709079819E-80
   -7.2800000000E+00    2.8088304026E+03   -4.4424044089E-78    0.0000000000E+00    1.9734956932-155   -4.4424044089E-78    1.5347046046E-79
   -7.2720000000E+00    2.7965042318E+03   -8.0830003752E-78    0.0000000000E+00    6.5334895066-155   -8.0830003752E-78    2.7768008186E-79
   -7.2640000000E+00    2.7842186744E+03   -1.4687793757E-77    0.0000000000E+00    2.1573128545-154   -1.4687793757E-77    5.0175344903E-79
   -7.2560000000E+00    2.7719736410E+03   -2.6654503903E-77    0.0000000000E+00    7.1046257831-154   -2.6654503903E-77    9.0544549925E-79
