# Quartic Well - state n = 3
# Parity (even=+1, odd=-1) = -1
# gamma =   1.4142136E+00
# epsilon (numeric) =   7.3357301E+00
# Note: no analytic psi for quartic; psi_exact column is 0.0
# Xmax =   8.000000
# grid = 2001
# columns: xi   v(xi)   psi_num   psi_exact   psi_num^2   (psi_num-psi_exact)   step_err_psi
   -7.1040000000E+00    2.5468995172E+03   -4.5398169096E-73    0.0000000000E+00    2.0609937572-145   -4.5398169096E-73    3.4721700818E-75
   -7.0960000000E+00    2.5354463615E+03   -8.0301491186E-73    0.0000000000E+00    6.4483294866-145   -8.0301491186E-73    6.1061924136E-75
   -7.0880000000E+00    2.5240318772E+03   -1.4185745120E-72    0.0000000000E+00    2.0123536462-144   -1.4185745120E-72    1.0724556543E-74
   -7.0800000000E+00    2.5126559770E+03   -2.5027909761E-72    0.0000000000E+00    6.2639626700-144   -2.5027909761E-72    1.8811705525E-74
   -7.0720000000E+00    2.5013185738E+03   -4.4100296495E-72    0.0000000000E+00    1.9448361509-143   -4.4100296495E-72    3.2954716355E-74
   -7.0640000000E+00    2.4900195808E+03   -7.7607475154E-72    0.0000000000E+00    6.0229201998-143   -7.7607475154E-72    5.7656485927E-74
   -7.0560000000E+00    2.4787589111E+03   -1.3639904560E-71    0.0000000000E+00    1.8604699642-142   -1.3639904560E-71    1.0074431612E-73
   -7.0480000000E+00    2.4675364779E+03   -2.3942277267E-71    0.0000000000E+00    5.7323264072-142   -2.3942277267E-71    1.7580666550E-73
   -7.0400000000E+00    2.4563521946E+03   -4.1972664828E-71    0.0000000000E+00    1.7617045928-141   -4.1972664828E-71    3.0640308095E-73
   -7.0320000000E+00    2.4452059746E+03   -7.3487793781E-71    0.0000000000E+00    5.4004558347-141   -7.3487793781E-71    5.3332818296E-73
   -7.0240000000E+00    2.4340977314E+03   -1.2850264590E-70    0.0000000000E+00    1.6512930004-140   -1.2850264590E-70    9.2712899312E-73
   -7.0160000000E+00    2.4230273788E+03   -2.2441802758E-70    0.0000000000E+00    5.0363451103-140   -2.2441802758E-70    1.6096469137E-72
   -7.0080000000E+00    2.4119948303E+03   -3.9142885587E-70    0.0000000000E+00    1.5321654921-139   -3.9142885587E-70    2.7910429377E-72
   -7.0000000000E+00    2.4010000000E+03   -6.8186433966E-70    0.0000000000E+00    4.6493897770-139   -6.8186433966E-70    4.8333523903E-72
   -6.9920000000E+00    2.3900428017E+03   -1.1862979406E-69    0.0000000000E+00    1.4073028038-138   -1.1862979406E-69    8.3594375038E-72
   -6.9840000000E+00    2.3791231494E+03   -2.0612983206E-69    0.0000000000E+00    4.2489507666-138   -2.0612983206E-69    1.4439525161E-71
   -6.9760000000E+00    2.3682409573E+03   -3.5771719231E-69    0.0000000000E+00    1.2796158968-137   -3.5771719231E-69    2.4910166904E-71
   -6.9680000000E+00    2.3573961395E+03   -6.1999942193E-69    0.0000000000E+00    3.8439928320-137   -6.1999942193E-69    4.2918925432E-71
   -6.9600000000E+00    2.3465886106E+03   -1.0732376002E-68    0.0000000000E+00    1.1518389465-136   -1.0732376002E-68    7.3853337676E-71
   -6.9520000000E+00    2.3358182847E+03   -1.8554711865E-68    0.0000000000E+00    3.4427733239-136   -1.8554711865E-68    1.2692322761E-70
   -6.9440000000E+00    2.3250850766E+03   -3.2038111350E-68    0.0000000000E+00    1.0264405789-135   -3.2038111350E-68    2.1785242000E-70
   -6.9360000000E+00    2.3143889007E+03   -5.5250291247E-68    0.0000000000E+00    3.0525946828-135   -5.5250291247E-68    3.7345181866E-70
   -6.9280000000E+00    2.3037296719E+03   -9.5160743603E-68    0.0000000000E+00    9.0555671231-135   -9.5160743603E-68    6.3937887910E-70
   -6.9200000000E+00    2.2931073050E+03   -1.6369570672E-67    0.0000000000E+00    2.6796284398-134   -1.6369570672E-67    1.0932868346E-69
